Calories, Total Fat (g),Cholesterol (mg)
3,0.1,0
4,0.1,0
5,0.1,0
5,0.1,0
70,0.1,10
100,3.5,10
70,2.5,6
100,0.2,15
150,6,15
110,4.5,10
130,0.3,19
190,7,19
150,5,13
170,0.4,25
240,9,24
190,7,16
110,1.5,21
130,4,21
110,3.5,19
170,2,32
200,6,32
180,5,28
220,2.5,43
260,8,42
230,7,37
280,3,54
340,11,53
290,9,47
100,0.1,19
130,3.5,18
110,2.5,16
150,0.2,28
200,5,28
160,4,23
200,0.3,37
250,6,37
210,5,31
250,0.3,47
320,9,46
270,7,39
5,0,1
10,0,2
15,0,3
25,0,4
50,0.1,8
80,3,8
50,1.5,4
60,0.1,9
90,3.5,9
70,3,7
80,0.2,12
120,4,12
100,3.5,9
110,0.2,16
150,6,16
120,4.5,11
5,0,1
10,0,2
60,0.1,9
100,0.2,14
120,0.3,18
160,0.3,24
100,1,17
120,4,16
100,3,14
140,1,25
180,5,25
150,4.5,21
190,1,35
240,7,34
200,5,29
240,1,43
300,8,43
250,7,36
180,3,31
200,6,31
180,5,28
270,4.5,47
310,9,46
280,8,42
350,6,61
400,11,61
370,10,56
450,7,78
510,15,77
460,13,70
130,1.5,26
150,4.5,26
130,3.5,23
190,2,37
230,7,37
200,6,32
240,2.5,48
290,9,47
250,7,41
320,3,63
380,11,63
330,9,55
140,0,35
210,0,53
280,0,70
360,0,89
0,0,0
0,0,0
0,0,0
0,0,0
100,0.1,22
120,2,22
110,1.5,20
160,0.2,34
190,3.5,34
160,2.5,31
210,0.2,45
240,4.5,45
220,3.5,41
260,0.3,57
310,6,56
280,4.5,51
130,0.2,26
170,4,26
140,3,22
210,0.4,42
260,6,41
230,4.5,36
290,0.5,57
350,8,57
310,6,50
370,0.5,73
450,10,72
390,8,64
80,0.1,16
90,2,15
80,1.5,14
120,0.1,23
140,3,23
130,2.5,21
150,0.2,31
190,4,31
170,3.5,27
190,0.2,39
230,5,38
210,4,34
80,0.1,16
90,2,15
80,1.5,14
120,0.1,23
140,3,23
130,2.5,21
150,0.2,31
190,4,31
170,3.5,27
190,0.2,39
230,5,38
210,4,34
60,0,15
90,0.1,21
130,0.1,31
80,0.1,18
90,1,18
80,1,17
110,0.1,24
120,1.5,24
110,1,23
160,0.1,36
180,2,36
170,1.5,34
60,0,15
80,0,21
120,0,31
100,0,25
130,0,33
190,0,49
280,2.5,53
300,5,53
290,4.5,51
260,1,54
270,1.5,53
270,1.5,53
290,1,58
290,2,58
290,2,58
160,0.1,36
180,2.5,36
160,1.5,35
220,0.1,51
240,3,50
220,1.5,49
310,0.1,70
350,5,70
310,2.5,68
180,0.5,42
200,3,42
180,2,40
260,1,61
290,4,61
260,2.5,59
340,1,80
390,6,80
350,3,78
180,0.1,42
200,2.5,42
180,1.5,40
280,0.1,60
280,3.5,60
260,1.5,58
330,0.1,78
370,5,78
340,2.5,75
220,3,47
240,5,47
220,4,45
310,4,67
340,7,67
310,6,65
420,5,90
460,10,90
430,8,88
90,0.1,20
120,0.1,26
160,0.1,34
110,0.5,24
150,1,33
210,1,46
100,0.1,23
150,0.1,33
200,0.1,44
150,3,30
220,4,43
290,5,58
170,0.1,39
190,3,38
170,1.5,37
230,0.2,53
260,4,53
240,2,51
310,0.2,70
350,6,70
320,3.2,67
170,0.1,39
200,3.5,39
180,1.5,37
240,0.1,56
